status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
232633627068_10151513892612069,"第3名的國家和香港的排名
著實令人意外啊
http://www.appledaily.com.tw/realtimenews/article/life/20130307/169434/
亞太女性進步指數　台灣排第5",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151513892612069,2013-03-08 02:30:01,517,16,13,517,0,0,0,0,0
232633627068_10151513819162069,"希望可以平穩東北亞國際情勢
http://www.appledaily.com.tw/realtimenews/article/international/20130307/169436/
快訊　聯合國安理會通過加強對北韓制裁案",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151513819162069,2013-03-08 00:00:02,511,31,15,511,0,0,0,0,0
232633627068_10151512874852069,"呀呼～～今年清明有四天連假耶！？

《清明高鐵票今開賣 國道4天假免收費》
http://www.appledaily.com.tw/appledaily/article/headline/20130307/34872588",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151512874852069,2013-03-07 10:00:30,2241,19,129,2241,0,0,0,0,0
232633627068_10151511591082069,"這種價格應該不容易吸引桃園當地人吧!?
桃園的粉絲，你怎麼看？

【炒過頭　桃園青埔每坪喊45萬】
http://www.appledaily.com.tw/appledaily/article/property/20130306/34869633",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151511591082069,2013-03-07 05:00:04,742,79,40,742,0,0,0,0,0
232633627068_10151511166727069,"好天氣，好心情 ^^

《逐步回溫　好天氣到周末》
http://www.appledaily.com.tw/realtimenews/article/life/20130306/169159",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151511166727069,2013-03-06 15:08:34,2463,35,54,2463,0,0,0,0,0
232633627068_10151509636192069,"所以，這並不是虐雞是嗎？...

公母失衡 華山爆虐雞
http://www.appledaily.com.tw/appledaily/article/headline/20130305/34867196/",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151509636192069,2013-03-06 03:00:00,657,33,22,657,0,0,0,0,0
232633627068_10151509868577069,,蘋果日報's cover photo,photo,https://www.facebook.com/232633627068/posts/10151509868577069,2013-03-05 23:37:44,131830,1483,5045,131829,1,0,0,0,0
232633627068_10151509837782069,"YES!!!!!!!
http://www.appledaily.com.tw/realtimenews/article/sports/20130305/169071/
中華隊分組第1　進軍日本東京",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151509837782069,2013-03-05 23:12:20,14371,267,693,14371,0,0,0,0,0
232633627068_10151509294857069,"驚！他是橡皮人嗎？

《縮骨功鑽22公分門縫　賊偷4千香油錢被逮》
http://www.appledaily.com.tw/realtimenews/article/local/20130305/168920",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151509294857069,2013-03-05 14:30:38,794,25,25,794,0,0,0,0,0
232633627068_10151509237447069,"痾...好羨慕喔！

《2013億萬富豪　23人未滿40歲》
http://www.appledaily.com.tw/realtimenews/article/international/20130305/168889",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151509237447069,2013-03-05 13:33:41,2009,22,40,2009,0,0,0,0,0
